,Bid,Ask
2018-06-29 14:54:40.217,1.16636,1.16638
2018-06-29 14:54:40.222,1.1663700000000001,1.16638
2018-06-29 14:54:40.228,1.16639,1.16638
2018-06-29 14:54:40.234,1.1664,1.16638
2018-06-29 14:54:40.236,1.16639,1.16638
2018-06-29 14:54:40.243,1.16639,1.1664
2018-06-29 14:54:40.266,1.16638,1.1664
2018-06-29 14:54:40.293,1.16639,1.1664
2018-06-29 14:54:40.295,1.16639,1.16641
2018-06-29 14:54:40.299,1.1664,1.16641
2018-06-29 14:54:40.301,1.16639,1.16641
2018-06-29 14:54:40.305,1.1664,1.16641
2018-06-29 14:54:40.317,1.1664,1.16642
2018-06-29 14:54:40.339,1.16639,1.16642
2018-06-29 14:54:40.341,1.16639,1.16641
2018-06-29 14:54:40.346,1.16638,1.16641
2018-06-29 14:54:40.351,1.16639,1.16641
2018-06-29 14:54:40.368,1.1664,1.16641
2018-06-29 14:54:40.393,1.1664,1.16642
2018-06-29 14:54:40.411,1.16639,1.16642
2018-06-29 14:54:40.440,1.16641,1.16642
2018-06-29 14:54:40.455,1.1664,1.16642
2018-06-29 14:54:40.466,1.1664,1.16641
2018-06-29 14:54:40.470,1.16639,1.16641
2018-06-29 14:54:40.473,1.16639,1.1664
2018-06-29 14:54:40.479,1.16639,1.16639
2018-06-29 14:54:40.483,1.16638,1.16638
2018-06-29 14:54:40.492,1.1663700000000001,1.16638
2018-06-29 14:54:40.530,1.1663700000000001,1.1664
2018-06-29 14:54:40.532,1.16638,1.1664
2018-06-29 14:54:40.536,1.1663700000000001,1.1664
2018-06-29 14:54:40.544,1.1663700000000001,1.16639
2018-06-29 14:54:40.841,1.16638,1.16639
2018-06-29 14:54:41.097,1.16638,1.16638
2018-06-29 14:54:41.101,1.16636,1.16638
2018-06-29 14:54:41.112,1.16635,1.16638
2018-06-29 14:54:41.131,1.16636,1.16639
2018-06-29 14:54:41.136,1.16635,1.16638
2018-06-29 14:54:41.224,1.16636,1.16638
2018-06-29 14:54:41.953,1.16636,1.1663700000000001
2018-06-29 14:54:42.852,1.16635,1.1663700000000001
2018-06-29 14:54:43.735,1.16636,1.1663700000000001
2018-06-29 14:54:44.046,1.16635,1.16636
2018-06-29 14:54:44.050,1.1663299999999999,1.16635
2018-06-29 14:54:44.052,1.1663299999999999,1.16634
2018-06-29 14:54:44.055,1.1663299999999999,1.1663299999999999
2018-06-29 14:54:44.084,1.16632,1.1663299999999999
2018-06-29 14:54:44.364,1.16631,1.1663299999999999
2018-06-29 14:54:45.073,1.16631,1.16632
2018-06-29 14:54:45.075,1.16631,1.16631
2018-06-29 14:54:45.085,1.16631,1.1663
2018-06-29 14:54:45.089,1.16629,1.1663
2018-06-29 14:54:45.095,1.16629,1.16628
2018-06-29 14:54:45.098,1.16629,1.16629
2018-06-29 14:54:45.102,1.16628,1.16629
2018-06-29 14:54:45.106,1.16629,1.16629
2018-06-29 14:54:45.109,1.16628,1.16629
2018-06-29 14:54:45.112,1.16628,1.16628
2018-06-29 14:54:45.133,1.1662700000000001,1.16628
2018-06-29 14:54:45.144,1.1662700000000001,1.16629
2018-06-29 14:54:45.149,1.16626,1.16629
2018-06-29 14:54:45.151,1.16626,1.16628
2018-06-29 14:54:45.166,1.16626,1.16629
2018-06-29 14:54:45.174,1.16626,1.16628
2018-06-29 14:54:45.220,1.16625,1.16628
2018-06-29 14:54:45.264,1.16624,1.16628
2018-06-29 14:54:45.279,1.16624,1.1662700000000001
2018-06-29 14:54:45.330,1.16625,1.1662700000000001
2018-06-29 14:54:45.366,1.16626,1.1662700000000001
2018-06-29 14:54:48.039,1.16625,1.16626
2018-06-29 14:54:48.044,1.16625,1.16625
2018-06-29 14:54:48.046,1.16624,1.16625
2018-06-29 14:54:48.048,1.16624,1.16624
2018-06-29 14:54:48.050,1.16624,1.1662299999999999
2018-06-29 14:54:48.054,1.16624,1.16622
2018-06-29 14:54:48.058,1.16624,1.16624
2018-06-29 14:54:48.061,1.16624,1.1662299999999999
2018-06-29 14:54:48.064,1.16622,1.1662299999999999
2018-06-29 14:54:48.095,1.1662,1.1662299999999999
2018-06-29 14:54:48.103,1.16621,1.1662299999999999
2018-06-29 14:54:48.107,1.1662,1.16622
2018-06-29 14:54:48.128,1.16619,1.16622
2018-06-29 14:54:48.139,1.16619,1.16621
2018-06-29 14:54:48.201,1.1662,1.16621
2018-06-29 14:54:48.267,1.16619,1.16621
2018-06-29 14:54:48.341,1.1662,1.16621
2018-06-29 14:54:48.381,1.16621,1.16621
2018-06-29 14:54:48.766,1.1662,1.16621
2018-06-29 14:54:48.802,1.16621,1.16621
2018-06-29 14:54:48.829,1.1662,1.16621
2018-06-29 14:54:48.837,1.1662,1.1662299999999999
2018-06-29 14:54:48.866,1.16619,1.1662299999999999
2018-06-29 14:54:48.946,1.1662,1.1662299999999999
2018-06-29 14:54:48.992,1.16621,1.1662299999999999
2018-06-29 14:54:49.296,1.16621,1.16622
2018-06-29 14:54:49.297,1.1662,1.16622
2018-06-29 14:54:50.716,1.1662,1.16621
2018-06-29 14:54:50.904,1.16621,1.16621
2018-06-29 14:54:51.200,1.1662,1.16621
2018-06-29 14:54:51.257,1.16621,1.16621
2018-06-29 14:54:52.063,1.1662,1.16621
2018-06-29 14:54:52.209,1.16621,1.16621
2018-06-29 14:54:52.213,1.16621,1.16622
2018-06-29 14:54:52.215,1.16622,1.16622
2018-06-29 14:54:52.217,1.1662,1.16622
2018-06-29 14:54:52.267,1.16619,1.16621
2018-06-29 14:54:52.276,1.16621,1.16622
2018-06-29 14:54:52.284,1.16621,1.16621
2018-06-29 14:54:52.398,1.1662,1.16621
2018-06-29 14:54:52.405,1.16619,1.16621
2018-06-29 14:54:52.407,1.16619,1.1662
2018-06-29 14:54:52.410,1.1662,1.16621
2018-06-29 14:54:52.412,1.1662,1.1662
2018-06-29 14:54:52.414,1.1662,1.16619
2018-06-29 14:54:52.419,1.16618,1.16619
2018-06-29 14:54:52.481,1.1661700000000002,1.16619
2018-06-29 14:54:52.550,1.1661700000000002,1.1662
2018-06-29 14:54:52.556,1.1661700000000002,1.16619
2018-06-29 14:54:52.602,1.1661700000000002,1.16618
2018-06-29 14:54:52.610,1.16618,1.16618
2018-06-29 14:54:52.625,1.16616,1.16618
2018-06-29 14:54:52.646,1.16616,1.1662
2018-06-29 14:54:52.666,1.16616,1.16619
2018-06-29 14:54:52.745,1.1661700000000002,1.16619
2018-06-29 14:54:53.082,1.16618,1.16619
2018-06-29 14:54:53.084,1.16618,1.1662
2018-06-29 14:54:53.090,1.16619,1.1662
2018-06-29 14:54:53.093,1.1662,1.1662
2018-06-29 14:54:53.108,1.1662,1.16621
2018-06-29 14:54:53.142,1.16621,1.16621
2018-06-29 14:54:53.177,1.1662,1.16621
2018-06-29 14:54:53.184,1.1662,1.16622
2018-06-29 14:54:53.201,1.16618,1.16622
2018-06-29 14:54:53.206,1.16618,1.16621
2018-06-29 14:54:53.235,1.16618,1.1662
2018-06-29 14:54:53.321,1.1661700000000002,1.16619
2018-06-29 14:54:53.327,1.1661700000000002,1.16618
2018-06-29 14:54:53.331,1.1661700000000002,1.1661700000000002
2018-06-29 14:54:53.341,1.1661700000000002,1.16618
2018-06-29 14:54:53.346,1.1661700000000002,1.1661700000000002
2018-06-29 14:54:53.350,1.16615,1.1661700000000002
2018-06-29 14:54:53.361,1.16614,1.1661700000000002
2018-06-29 14:54:53.426,1.16615,1.1661700000000002
2018-06-29 14:54:53.429,1.16614,1.1661700000000002
2018-06-29 14:54:53.460,1.16615,1.1661700000000002
2018-06-29 14:54:53.490,1.16616,1.1661700000000002
2018-06-29 14:54:53.608,1.1661700000000002,1.1661700000000002
2018-06-29 14:54:53.613,1.16615,1.1661700000000002
2018-06-29 14:54:53.626,1.16616,1.1661700000000002
2018-06-29 14:54:53.681,1.16616,1.16618
2018-06-29 14:54:53.696,1.16616,1.1662
2018-06-29 14:54:53.755,1.1661700000000002,1.1662
2018-06-29 14:54:53.855,1.16618,1.1662
2018-06-29 14:54:53.860,1.16619,1.1662
2018-06-29 14:54:53.868,1.1662,1.1662
2018-06-29 14:54:53.874,1.16621,1.1662
2018-06-29 14:54:53.896,1.16619,1.16622
2018-06-29 14:54:53.922,1.1662,1.16622
2018-06-29 14:54:53.951,1.16621,1.16622
2018-06-29 14:54:54.412,1.16622,1.16622
2018-06-29 14:54:54.414,1.1662,1.16622
2018-06-29 14:54:54.522,1.16621,1.16622
2018-06-29 14:54:54.646,1.16622,1.16622
2018-06-29 14:54:54.649,1.1662,1.16622
2018-06-29 14:54:54.804,1.16621,1.16622
2018-06-29 14:54:54.829,1.16621,1.1662299999999999
2018-06-29 14:54:54.866,1.16622,1.1662299999999999
2018-06-29 14:54:54.891,1.16621,1.1662299999999999
2018-06-29 14:54:55.452,1.16622,1.1662299999999999
2018-06-29 14:54:56.003,1.16621,1.1662299999999999
2018-06-29 14:54:59.221,1.16622,1.16624
2018-06-29 14:55:00.010,1.16621,1.16624
2018-06-29 14:55:00.066,1.16624,1.1662299999999999
2018-06-29 14:55:00.072,1.16621,1.1662299999999999
2018-06-29 14:55:00.154,1.16621,1.16624
2018-06-29 14:55:00.239,1.16624,1.16624
2018-06-29 14:55:00.242,1.16622,1.16624
2018-06-29 14:55:00.281,1.16621,1.16624
2018-06-29 14:55:00.346,1.1662299999999999,1.16624
2018-06-29 14:55:00.395,1.16624,1.16624
2018-06-29 14:55:00.485,1.16625,1.16624
2018-06-29 14:55:00.520,1.16624,1.16624
2018-06-29 14:55:00.551,1.16625,1.16624
2018-06-29 14:55:00.665,1.16622,1.16624
2018-06-29 14:55:02.441,1.16621,1.1662299999999999
2018-06-29 14:55:02.529,1.16622,1.16624
2018-06-29 14:55:02.536,1.1662299999999999,1.16624
2018-06-29 14:55:02.539,1.16624,1.16624
2018-06-29 14:55:02.543,1.16625,1.16624
2018-06-29 14:55:02.547,1.16626,1.16624
2018-06-29 14:55:02.549,1.1662700000000001,1.16624
2018-06-29 14:55:02.551,1.1662700000000001,1.16625
2018-06-29 14:55:02.553,1.16629,1.16624
2018-06-29 14:55:02.557,1.1662700000000001,1.16624
2018-06-29 14:55:02.571,1.16628,1.16624
2018-06-29 14:55:02.574,1.16629,1.16624
2018-06-29 14:55:02.581,1.1663,1.16624
2018-06-29 14:55:02.586,1.1663,1.1662700000000001
2018-06-29 14:55:02.604,1.1663,1.16631
2018-06-29 14:55:02.632,1.1663,1.16632
2018-06-29 14:55:02.646,1.16631,1.16632
2018-06-29 14:55:02.691,1.16631,1.1663299999999999
2018-06-29 14:55:02.711,1.16632,1.1663299999999999
2018-06-29 14:55:02.740,1.16632,1.16634
2018-06-29 14:55:02.758,1.1663299999999999,1.16634
2018-06-29 14:55:02.762,1.16634,1.16634
2018-06-29 14:55:02.768,1.16632,1.16634
2018-06-29 14:55:02.796,1.16634,1.16634
2018-06-29 14:55:02.814,1.16634,1.16636
2018-06-29 14:55:02.872,1.16634,1.16635
2018-06-29 14:55:02.886,1.16634,1.16636
2018-06-29 14:55:02.925,1.16634,1.16635
2018-06-29 14:55:03.053,1.16634,1.16634
2018-06-29 14:55:03.056,1.16634,1.16632
2018-06-29 14:55:03.087,1.16634,1.1663299999999999
2018-06-29 14:55:03.117,1.16632,1.1663299999999999
2018-06-29 14:55:03.146,1.16632,1.16634
2018-06-29 14:55:03.222,1.16634,1.16634
2018-06-29 14:55:03.226,1.16635,1.16634
2018-06-29 14:55:03.236,1.16636,1.16634
2018-06-29 14:55:03.265,1.16636,1.16635
2018-06-29 14:55:03.269,1.16636,1.16634
2018-06-29 14:55:03.298,1.16636,1.16635
2018-06-29 14:55:03.348,1.16636,1.16638
2018-06-29 14:55:03.388,1.16636,1.1663700000000001
2018-06-29 14:55:03.390,1.16635,1.16636
2018-06-29 14:55:03.392,1.16635,1.16635
2018-06-29 14:55:03.396,1.16635,1.16636
2018-06-29 14:55:03.436,1.16636,1.16636
2018-06-29 14:55:03.462,1.16635,1.16636
2018-06-29 14:55:03.586,1.16636,1.16636
2018-06-29 14:55:03.589,1.16635,1.1663700000000001
2018-06-29 14:55:03.668,1.16638,1.1663700000000001
2018-06-29 14:55:03.682,1.16636,1.1663700000000001
2018-06-29 14:55:03.693,1.16638,1.1663700000000001
2018-06-29 14:55:03.710,1.16638,1.16638
2018-06-29 14:55:03.732,1.1663700000000001,1.16638
2018-06-29 14:55:03.736,1.16638,1.16638
2018-06-29 14:55:03.749,1.16638,1.16639
2018-06-29 14:55:03.759,1.16638,1.1664
2018-06-29 14:55:03.770,1.16638,1.16639
2018-06-29 14:55:03.786,1.16638,1.16638
2018-06-29 14:55:03.794,1.1663700000000001,1.16638
2018-06-29 14:55:03.836,1.1663700000000001,1.16639
2018-06-29 14:55:03.890,1.1663700000000001,1.1663700000000001
2018-06-29 14:55:03.896,1.1663700000000001,1.16636
2018-06-29 14:55:03.900,1.1663700000000001,1.16635
2018-06-29 14:55:03.919,1.16634,1.16634
2018-06-29 14:55:03.921,1.16634,1.16635
2018-06-29 14:55:03.929,1.1663299999999999,1.16635
2018-06-29 14:55:03.931,1.16635,1.16635
2018-06-29 14:55:03.934,1.16636,1.16636
2018-06-29 14:55:03.951,1.16634,1.1663700000000001
2018-06-29 14:55:03.956,1.16634,1.16636
2018-06-29 14:55:03.960,1.1663299999999999,1.16636
2018-06-29 14:55:03.965,1.16634,1.16636
2018-06-29 14:55:03.989,1.16634,1.1663700000000001
2018-06-29 14:55:04.016,1.16635,1.1663700000000001
2018-06-29 14:55:04.048,1.16636,1.1663700000000001
2018-06-29 14:55:04.052,1.16638,1.1663700000000001
2018-06-29 14:55:04.054,1.16638,1.16639
2018-06-29 14:55:04.056,1.16636,1.16639
2018-06-29 14:55:04.060,1.1663700000000001,1.16639
2018-06-29 14:55:04.065,1.16636,1.16639
2018-06-29 14:55:04.078,1.16638,1.16639
2018-06-29 14:55:04.080,1.16638,1.16638
2018-06-29 14:55:04.103,1.16638,1.16639
2018-06-29 14:55:04.123,1.16636,1.16639
2018-06-29 14:55:04.149,1.16638,1.16639
2018-06-29 14:55:04.446,1.16638,1.1664
2018-06-29 14:55:04.448,1.16639,1.1664
2018-06-29 14:55:04.472,1.16641,1.1664
2018-06-29 14:55:04.474,1.1664,1.16641
2018-06-29 14:55:05.023,1.1664,1.16642
2018-06-29 14:55:05.025,1.16641,1.16642
2018-06-29 14:55:05.048,1.16642,1.16642
2018-06-29 14:55:05.072,1.16641,1.16644
2018-06-29 14:55:05.091,1.16641,1.1664299999999999
